pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.825708	0.0109654	-0.0109654	0.0825708	-0.0825708
0.65	0.6	0.7	0.876566	0.00982231	-0.00982231	0.0876566	-0.0876566
0.75	0.7	0.8	0.84431	0.00880331	-0.00880331	0.084431	-0.084431
0.85	0.8	0.9	0.755751	0.00763111	-0.00763111	0.0755751	-0.0755751
0.95	0.9	1	0.650126	0.0063767	-0.0063767	0.0650126	-0.0650126
1.05	1	1.1	0.538306	0.00456529	-0.00456529	0.0538306	-0.0538306
1.15	1.1	1.2	0.449639	0.00378816	-0.00378816	0.0449639	-0.0449639
1.25	1.2	1.3	0.363444	0.00303882	-0.00303882	0.0363444	-0.0363444
1.35	1.3	1.4	0.28844	0.00239191	-0.00239191	0.028844	-0.028844
1.45	1.4	1.5	0.233873	0.00195387	-0.00195387	0.0233873	-0.0233873
1.55	1.5	1.6	0.17769	0.00145953	-0.00145953	0.017769	-0.017769
1.65	1.6	1.7	0.139829	0.00115442	-0.00115442	0.0139829	-0.0139829
1.75	1.7	1.8	0.107177	0.000879763	-0.000879763	0.0107177	-0.0107177
1.85	1.8	1.9	0.0812356	0.000662804	-0.000662804	0.00812356	-0.00812356
1.95	1.9	2	0.0629058	0.000515054	-0.000515054	0.00629058	-0.00629058
2.1	2	2.2	0.0423984	0.000248157	-0.000248157	0.00423984	-0.00423984
2.3	2.2	2.4	0.0238556	0.000139575	-0.000139575	0.00238556	-0.00238556
2.5	2.4	2.6	0.013969	8.30E-05	-8.30E-05	0.0013969	-0.0013969
2.7	2.6	2.8	0.00819403	4.99E-05	-4.99E-05	0.000819403	-0.000819403
2.9	2.8	3	0.00478965	3.03E-05	-3.03E-05	0.000478965	-0.000478965
3.25	3	3.5	0.0020519	9.35E-06	-9.35E-06	0.000225709	-0.000225709
3.75	3.5	4	0.000621061	3.56E-06	-3.56E-06	6.83E-05	-6.83E-05
4.25	4	4.5	0.000209597	1.74E-06	-1.74E-06	2.31E-05	-2.31E-05
4.75	4.5	5	8.11E-05	1.06E-06	-1.06E-06	8.92E-06	-8.92E-06
5.25	5	5.5	3.44E-05	1.36E-06	-1.36E-06	4.81E-06	-4.81E-06
5.75	5.5	6	1.72E-05	1.05E-06	-1.05E-06	2.40E-06	-2.40E-06
							
centrality	40	60	8.55E+01	1.63E+01			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.366715	0.00547209	-0.00547209	0.0366715	-0.0366715
0.65	0.6	0.7	0.369887	0.00465491	-0.00465491	0.0369887	-0.0369887
0.75	0.7	0.8	0.34574	0.00405016	-0.00405016	0.034574	-0.034574
0.85	0.8	0.9	0.303021	0.00345475	-0.00345475	0.0303021	-0.0303021
0.95	0.9	1	0.251657	0.00283297	-0.00283297	0.0251657	-0.0251657
1.05	1	1.1	0.200826	0.00173772	-0.00173772	0.0200826	-0.0200826
1.15	1.1	1.2	0.162232	0.00139743	-0.00139743	0.0162232	-0.0162232
1.25	1.2	1.3	0.128089	0.00109666	-0.00109666	0.0128089	-0.0128089
1.35	1.3	1.4	0.0994321	0.000846937	-0.000846937	0.00994321	-0.00994321
1.45	1.4	1.5	0.0786288	0.00067541	-0.00067541	0.00786288	-0.00786288
1.55	1.5	1.6	0.0588022	0.000498348	-0.000498348	0.00588022	-0.00588022
1.65	1.6	1.7	0.0455883	0.000389296	-0.000389296	0.00455883	-0.00455883
1.75	1.7	1.8	0.0346972	0.000295367	-0.000295367	0.00346972	-0.00346972
1.85	1.8	1.9	0.025956	0.00022045	-0.00022045	0.0025956	-0.0025956
1.95	1.9	2	0.019901	0.000170441	-0.000170441	0.0019901	-0.0019901
2.1	2	2.2	0.0133369	8.23E-05	-8.23E-05	0.00133369	-0.00133369
2.3	2.2	2.4	0.00747347	4.68E-05	-4.68E-05	0.000747347	-0.000747347
2.5	2.4	2.6	0.00440005	2.87E-05	-2.87E-05	0.000440005	-0.000440005
2.7	2.6	2.8	0.00257424	1.78E-05	-1.78E-05	0.000257424	-0.000257424
2.9	2.8	3	0.00153279	1.14E-05	-1.14E-05	0.000153279	-0.000153279
3.25	3	3.5	0.000669831	3.82E-06	-3.82E-06	7.37E-05	-7.37E-05
3.75	3.5	4	0.000210141	1.68E-06	-1.68E-06	2.31E-05	-2.31E-05
4.25	4	4.5	7.41E-05	9.05E-07	-9.05E-07	8.16E-06	-8.16E-06
4.75	4.5	5	3.06E-05	5.88E-07	-5.88E-07	3.36E-06	-3.36E-06
5.25	5	5.5	1.24E-05	7.46E-07	-7.46E-07	1.73E-06	-1.73E-06
5.75	5.5	6	6.44E-06	6.01E-07	-6.01E-07	9.02E-07	-9.02E-07
							
centrality	60	92	1.83E+01	6.70E+00			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.55	0.5	0.6	0.0909796	0.00166294	-0.00166294	0.00909796	-0.00909796
0.65	0.6	0.7	0.0906661	0.00138996	-0.00138996	0.00906661	-0.00906661
0.75	0.7	0.8	0.0776869	0.00114584	-0.00114584	0.00776869	-0.00776869
0.85	0.8	0.9	0.0631503	0.000930322	-0.000930322	0.00631503	-0.00631503
0.95	0.9	1	0.049578	0.000748302	-0.000748302	0.0049578	-0.0049578
1.05	1	1.1	0.0377939	0.00031683	-0.00031683	0.00377939	-0.00377939
1.15	1.1	1.2	0.0293236	0.000246245	-0.000246245	0.00293236	-0.00293236
1.25	1.2	1.3	0.0220149	0.000185323	-0.000185323	0.00220149	-0.00220149
1.35	1.3	1.4	0.0165685	0.000139746	-0.000139746	0.00165685	-0.00165685
1.45	1.4	1.5	0.0127345	0.000109624	-0.000109624	0.00127345	-0.00127345
1.55	1.5	1.6	0.00931866	7.97E-05	-7.97E-05	0.000931866	-0.000931866
1.65	1.6	1.7	0.00701847	6.13E-05	-6.13E-05	0.000701847	-0.000701847
1.75	1.7	1.8	0.00521934	4.61E-05	-4.61E-05	0.000521934	-0.000521934
1.85	1.8	1.9	0.00384246	3.46E-05	-3.46E-05	0.000384246	-0.000384246
1.95	1.9	2	0.0029221	2.70E-05	-2.70E-05	0.00029221	-0.00029221
2.1	2	2.2	0.00192862	1.33E-05	-1.33E-05	0.000192862	-0.000192862
2.3	2.2	2.4	0.00107949	8.08E-06	-8.08E-06	0.000107949	-0.000107949
2.5	2.4	2.6	0.000625502	5.24E-06	-5.24E-06	6.26E-05	-6.26E-05
2.7	2.6	2.8	0.000370395	3.55E-06	-3.55E-06	3.70E-05	-3.70E-05
2.9	2.8	3	0.000223515	2.50E-06	-2.50E-06	2.24E-05	-2.24E-05
3.25	3	3.5	9.75E-05	9.27E-07	-9.27E-07	1.07E-05	-1.07E-05
3.75	3.5	4	3.23E-05	4.71E-07	-4.71E-07	3.55E-06	-3.55E-06
4.25	4	4.5	1.20E-05	2.76E-07	-2.76E-07	1.32E-06	-1.32E-06
4.75	4.5	5	4.84E-06	1.81E-07	-1.81E-07	5.32E-07	-5.32E-07
5.25	5	5.5	2.54E-06	2.65E-07	-2.65E-07	3.55E-07	-3.55E-07
5.75	5.5	6	1.38E-06	2.17E-07	-2.17E-07	1.94E-07	-1.94E-07
